"category","property_id","count","description","sva","example_target","notes"
"Physical Memory Protection","519-550","32","When PMP entry is locked, writes to the configuration register and associated address registers are ignored.","RegData_Pmpcfg0.L |-> !pmpaddr0_WtVld","pmpcfg0 (example shown); 16 PMP entries x 2 (cfg + addr) = 32","PMP locking functionality."
"Physical Memory Protection","551-566","16","Locked PMP entries remain locked until the hart is reset.","RegData_Pmpcfg0.L |-> RegData_Pmpcfg0.L throughout !hartRst","pmpcfg0 (example shown); 16 PMP entries","PMP locking persistence."
"Physical Memory Protection","567-582","16","If PMP entry N is locked, writes to pmpcfgN and pmpaddrN are ignored.","RegData_Pmpcfg0.L |-> ##1 $stable(RegData_PmpcfgRegs0[4:0])","pmpcfg0 (example shown); 16 PMP entries","Stability of locked PMP config."
"Physical Memory Protection","583-598","16","If PMP entry N is locked and pmpcfgN.A is set to TOR, writes to pmpaddrN-1 are ignored.","RegData_Pmpcfg1.L && RegData_PmpcfgRegs1.A == TOR |-> !pmpaddr0_WtVld","pmpcfg1 (example shown); 16 PMP entries","TOR addressing-mode locking interaction."
"Physical Memory Protection","599-630","32","For NAPOT addressing mode, writing to pmpaddrN is valid if pmpcfgN.L=0.","!RegData_Pmpcfg0.L && RegData_Pmpcfg0.A == NAPOT && RegData_Pmpcfg1.A != TOR && CSRWrite |-> pmpaddr0_WtVld","pmpaddr0 (example shown); 16 PMP entries x 2 conditions","NAPOT write-validity check."
"Physical Memory Protection","631-646","16","For TOR addressing mode, writing to pmpaddrN-1 and pmpaddrN is valid if pmpcfgN.L=0.","RegData_Pmp1.L && RegData_Pmpcfg1.A == TOR && CSRWrite |-> !pmpaddr0_WtVld && !pmpaddr1_WtVld","pmpcfg1 (example shown); 16 PMP entries","TOR write-validity check."
"Physical Memory Protection","647-1078","432","PMP prioritization correctness for each addressing mode and permission access combination. If a PMP entry matches all bytes of an access, then the L, R, W, and X bits determine whether the access succeeds or fails. If it falls in more than one region, it matches the permission in the lowest region.","","All combinations of: 16 PMP entries x 3 addressing modes (NA4, NAPOT, TOR) x R/W/X permissions x privilege modes","Largest property block. Covers full PMP prioritization matrix."
"Physical Memory Protection","1079-1081","3","If no PMP entry matches an M-mode access, the access succeeds. The PMP entry does not fall under TOR, NA4 or NAPOT region.","Opcode == Pmp && !tor_in_region && !na4_in_region && !napot_in_region && LSPrivMode == MachineMode && !DebugMode |-> !LoadAccessFault","M-mode access without matching PMP entry","PMP access correctness for machine mode (3 properties: load/store/instruction-fetch)."
"Physical Memory Protection","1082-1084","3","If no PMP entry matches an S-mode or U-mode access, but at least one PMP entry is implemented, the access fails. If at least one PMP entry is implemented but all PMP entries A fields are set to OFF, then all S-mode and U-mode memory accesses will fail.","","S-mode/U-mode access without matching PMP entry","PMP access correctness for S/U mode (3 properties: load/store/instruction-fetch)."
"Physical Memory Protection","1085-1092","8","PMP violation. If there is PMP violation (load access fault or store access fault), then for load there should be no read on the target register and for store there should be no write on the target register.","PipeRegEn && LoadAccessFault |-> ##1 RegData == $past(RegData)","Load and store access faults","Ensures architectural state is preserved on PMP fault."
