"category","property_id","count","description","sva","example_target","notes"
"Exception, Interrupt and Trap","419-439","21","Corresponding exception flag is set for all exceptions, interrupts and NMIs in Table 3.","","All exceptions, interrupts, NMIs in Table 3","See Table 3 for full list: Reset, NMI types, Async interrupts, instruction-fetch exceptions, decode exceptions, execution exceptions, load/store exceptions."
"Exception, Interrupt and Trap","440-466","27","mtval is written with exception-specific information to assist software in handling the trap, corresponding to the exception, interrupt or NMI.","InstValid && PipeReady && !DebugMode && Exception && ExcpFlag[19] |-> ##1 RegData_mtval == 32'd0","Breakpoint (example shown)","One property per exception/interrupt/NMI type."
"Exception, Interrupt and Trap","467-482","16","mcause is set to the exception code corresponding to the exception, interrupt or NMI.","InstValid && PipeReady && !DebugMode && Exception && ExcpFlag[19] |-> ##1 RegData_mcause == 32'h3","Breakpoint (example shown)","One property per exception/interrupt/NMI type."
"Exception, Interrupt and Trap","483-484","2","When a trap is taken, previous privilege level for machine mode (mpp bit of mstatus) is set to privilege level before exception or interrupt.","","","Sub-property of 483-490 (exception/interrupt status update)."
"Exception, Interrupt and Trap","485-486","2","Interrupt enable bit for machine mode (mie) set to 0 when a trap is taken.","","","Sub-property of 483-490 (exception/interrupt status update)."
"Exception, Interrupt and Trap","487-488","2","Previous interrupt enable bit for machine mode (mpie) set to value of previous mie.","","","Sub-property of 483-490 (exception/interrupt status update)."
"Exception, Interrupt and Trap","489-490","2","For exception, exception program counter for machine mode (mepc) set to PC from WB stage. For interrupt, mepc has to be set to current PC value.","","","Sub-property of 483-490 (exception/interrupt status update)."
"Exception, Interrupt and Trap","491-494","4","By executing MRET when mpp=0, modify privilege bit mprv=0 and mpp=0.","","","Sub-property of 491-498 (MRET update status). MRET returns from a trap in machine mode."
"Exception, Interrupt and Trap","495-496","2","1 is set to mpie when the state is returned to the previous state before the occurrence of a trap due to the MRET instruction.","","","Sub-property of 491-498 (MRET update status)."
"Exception, Interrupt and Trap","497-498","2","The value held in mpie is restored in mie when the state is returned to the previous state before the occurrence of a trap due to the MRET instruction.","","","Sub-property of 491-498 (MRET update status)."
"Exception, Interrupt and Trap","499","1","If an exception appeared, exception handler should be started, if conditions for exception start are fulfilled.","","","Exception implies handled."
"Exception, Interrupt and Trap","500","1","Exceptions are not being handled in absence of any request for exception.","","","Exception implies handled (negative case)."
"Exception, Interrupt and Trap","501","1","Interrupt implies handled. When interrupt happens, interrupt_counter increases by 1 and eventually interrupt service routine occurs. interrupt_counter is decreased for every interrupt service routine start.","interrupt_counter != 6'd0 |-> strong (##[0:$] InstPC == InterruptTrapEntry)","","Uses strong eventuality operator for liveness checking."
"Exception, Interrupt and Trap","502","1","Interrupt is disabled/enabled according to value of mie bit. Interrupt taken is enabled when mie bit is high and disabled when mie bit is low.","(|IntCause[31:3]) |-> IntTaken == MstatusMIE","",""
"Exception, Interrupt and Trap","503","1","The Interrupt bit in mcause is set if the trap was caused by an interrupt.","IntBrReq |-> ##1 RegData_mcauseINT","",""
"Exception, Interrupt and Trap","504","1","mepc register is written with the address of the instruction that was interrupted.","IntBrReq |-> ##1 RegData_mepc == $past(InstPC)","",""
"Exception, Interrupt and Trap","505","1","If frm is set to an invalid value (101 to 111), any subsequent attempt to execute a floating-point operation with a dynamic rounding mode is illegal.","","","Floating-point rounding mode validity check."
