"category","property_id","count","description","sva","example_target","notes"
"Mode Transition","506","1","Transition into user mode from machine mode when MRET is executed.","","Machine mode -> User mode (via MRET)",""
"Mode Transition","507","1","Transition into user mode from debug mode after debug retires, if user mode is stored in dcsr before entering debug.","","Debug mode -> User mode",""
"Mode Transition","508","1","Transition into machine mode from user mode when hart state allows.","","User mode -> Machine mode",""
"Mode Transition","509-510","2","Transition into machine mode from debug mode immediately after debug retires.","DebugMode == 1'b1 ##1 DebugMode == 1'b0 |-> PrivMode == MachineMode","Debug mode -> Machine mode",""
"Mode Transition","511","1","Transition into machine mode during processor reset, regardless of any circumstances.","PrivMode == MachineMode && !MstatusMIE && MstatusMPP == UserMode","Reset -> Machine mode","Property is proven during reset (different from other properties)."
"Mode Transition","512","1","When exception happens, privilege mode is set to machine mode.","exception_happen |-> ##1 PrivMode == MachineMode","Any mode -> Machine mode (on exception)",""
"Mode Transition","513-515","3","When interrupt happens, privilege mode is set to machine mode under the conditions: (i) either current privilege mode is M and mie bit in mstatus is set, or current privilege mode has less privilege than machine mode; (ii) bit i is set in both mip and mie (mip bit high means a pending interrupt).","((MachineMode && Mstatus_Mie) && ((Mip[3] && Mie[3]) || (Mip[7] && Mie[7]) || (Mip[11] && Mie[11]) || (Mip[19] && Mie[19]))) |-> ##1 PrivMode == MachineMode","Any mode -> Machine mode (on interrupt)",""
"Mode Transition","516","1","Transition into debug mode from user mode in case of a halt request and when the hart control FSM permits it. Halt request is a request to halt execution of a hart.","","User mode -> Debug mode",""
"Mode Transition","517","1","Transition into debug mode from machine mode in case of a halt request and when the hart control FSM permits it.","","Machine mode -> Debug mode",""
"Mode Transition","518","1","When return from debug or machine mode, MRET updates privilege mode with the previous mode saved.","mret_occured |-> ##1 PrivMode == $past(MstatusMPP)","MRET return",""
